fold,test_patient,n_cells,n_HSPC,n_LSPC,consensus_accuracy,consensus_5votes_accuracy,consensus_5votes_n_confident,consensus_6votes_accuracy,consensus_6votes_n_confident
1,AML1012,294,58,236,0.7585034013605442,0.8041666666666667,240,0.8432432432432433,185
2,AML210A,122,8,114,0.9262295081967213,0.940677966101695,118,0.9537037037037037,108
3,AML328,1855,148,1707,0.8862533692722372,0.9154169166166767,1667,0.9415405777166438,1454
4,AML329,245,44,201,0.8489795918367347,0.875,232,0.8818181818181818,220
5,AML371,115,115,0,0.5826086956521739,0.6021505376344086,93,0.6290322580645161,62
6,AML419A,420,7,413,0.9785714285714285,0.9902200488997555,409,0.9923664122137404,393
7,AML556,141,137,4,0.7943262411347518,0.8362068965517241,116,0.9183673469387755,98
8,AML707B,683,127,556,0.8052708638360175,0.8438538205980066,602,0.8864970645792564,511
9,AML870,256,9,247,0.80078125,0.8377192982456141,228,0.8870967741935484,186
10,AML916,784,55,729,0.7691326530612245,0.8091482649842271,634,0.8385093167701864,483
11,AML921A,1338,13,1325,0.9865470852017937,0.990210843373494,1328,0.993916349809886,1315
12,BM4,439,439,0,0.9954441913439636,0.9977011494252873,435,1.0,423
