sample_id,Donor,Study,consensus_label_6votes,n_cells
Abbas_Abbas_PT4A_HSPC,Abbas_Abbas_PT4A,Abbas,HSPC,109
Abbas_Abbas_PT4A_LSPC,Abbas_Abbas_PT4A,Abbas,LSPC,37
Abbas_Abbas_PT5A_HSPC,Abbas_Abbas_PT5A,Abbas,HSPC,118
Abbas_Abbas_PT5A_LSPC,Abbas_Abbas_PT5A,Abbas,LSPC,83
Abbas_Abbas_PT7A_HSPC,Abbas_Abbas_PT7A,Abbas,HSPC,84
Abbas_Abbas_PT7A_LSPC,Abbas_Abbas_PT7A,Abbas,LSPC,28
Ennis_Ennis_AML1216_HSPC,Ennis_Ennis_AML1216,Ennis,HSPC,664
Ennis_Ennis_AML1216_LSPC,Ennis_Ennis_AML1216,Ennis,LSPC,119
Ennis_Ennis_AML1886_HSPC,Ennis_Ennis_AML1886,Ennis,HSPC,185
Ennis_Ennis_AML1886_LSPC,Ennis_Ennis_AML1886,Ennis,LSPC,651
Ennis_Ennis_AML3904_HSPC,Ennis_Ennis_AML3904,Ennis,HSPC,298
Ennis_Ennis_AML3904_LSPC,Ennis_Ennis_AML3904,Ennis,LSPC,442
Ennis_Ennis_AML4978_HSPC,Ennis_Ennis_AML4978,Ennis,HSPC,57
Ennis_Ennis_AML4978_LSPC,Ennis_Ennis_AML4978,Ennis,LSPC,403
Ennis_Ennis_AML5750_HSPC,Ennis_Ennis_AML5750,Ennis,HSPC,177
Ennis_Ennis_AML5750_LSPC,Ennis_Ennis_AML5750,Ennis,LSPC,38
Ennis_Ennis_AML6323_HSPC,Ennis_Ennis_AML6323,Ennis,HSPC,393
Ennis_Ennis_AML6323_LSPC,Ennis_Ennis_AML6323,Ennis,LSPC,163
Ennis_Ennis_AML40389_HSPC,Ennis_Ennis_AML40389,Ennis,HSPC,281
Ennis_Ennis_AML40389_LSPC,Ennis_Ennis_AML40389,Ennis,LSPC,31
Guo_Guo_PT16A_HSPC,Guo_Guo_PT16A,Guo,HSPC,20
Guo_Guo_PT16A_LSPC,Guo_Guo_PT16A,Guo,LSPC,310
Guo_Guo_PT22A_HSPC,Guo_Guo_PT22A,Guo,HSPC,51
Guo_Guo_PT22A_LSPC,Guo_Guo_PT22A,Guo,LSPC,17
Guo_Guo_PT23A_HSPC,Guo_Guo_PT23A,Guo,HSPC,166
Guo_Guo_PT23A_LSPC,Guo_Guo_PT23A,Guo,LSPC,43
Guo_Guo_PT27A_HSPC,Guo_Guo_PT27A,Guo,HSPC,1433
Guo_Guo_PT27A_LSPC,Guo_Guo_PT27A,Guo,LSPC,40
Guo_Guo_PT28A_HSPC,Guo_Guo_PT28A,Guo,HSPC,235
Guo_Guo_PT28A_LSPC,Guo_Guo_PT28A,Guo,LSPC,82
Guo_Guo_PT29A_HSPC,Guo_Guo_PT29A,Guo,HSPC,159
Guo_Guo_PT29A_LSPC,Guo_Guo_PT29A,Guo,LSPC,101
Henrik_Lilljebjorn_AML21_HSPC,Henrik_Lilljebjorn_AML21,Henrik,HSPC,138
Henrik_Lilljebjorn_AML21_LSPC,Henrik_Lilljebjorn_AML21,Henrik,LSPC,66
Henrik_Lilljebjorn_AML24_HSPC,Henrik_Lilljebjorn_AML24,Henrik,HSPC,80
Henrik_Lilljebjorn_AML24_LSPC,Henrik_Lilljebjorn_AML24,Henrik,LSPC,20
Henrik_Lilljebjorn_AML25_HSPC,Henrik_Lilljebjorn_AML25,Henrik,HSPC,110
Henrik_Lilljebjorn_AML25_LSPC,Henrik_Lilljebjorn_AML25,Henrik,LSPC,10
Henrik_Lilljebjorn_AML27_HSPC,Henrik_Lilljebjorn_AML27,Henrik,HSPC,104
Henrik_Lilljebjorn_AML27_LSPC,Henrik_Lilljebjorn_AML27,Henrik,LSPC,93
Henrik_Lilljebjorn_AML28_HSPC,Henrik_Lilljebjorn_AML28,Henrik,HSPC,172
Henrik_Lilljebjorn_AML28_LSPC,Henrik_Lilljebjorn_AML28,Henrik,LSPC,183
Henrik_Lilljebjorn_AML32_HSPC,Henrik_Lilljebjorn_AML32,Henrik,HSPC,91
Henrik_Lilljebjorn_AML32_LSPC,Henrik_Lilljebjorn_AML32,Henrik,LSPC,94
Henrik_Lilljebjorn_AML33_HSPC,Henrik_Lilljebjorn_AML33,Henrik,HSPC,17
Henrik_Lilljebjorn_AML33_LSPC,Henrik_Lilljebjorn_AML33,Henrik,LSPC,1677
Henrik_Lilljebjorn_AML34_HSPC,Henrik_Lilljebjorn_AML34,Henrik,HSPC,26
