baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
3.932494735,2.232847035,0.600407357,3.718886869,0.000200103,0.004996313,IL2RA
9.005308986,1.889048174,0.512377207,3.686831009,0.000227064,0.005497702,CCL5
9.913551328,1.757996566,0.548630072,3.204338688,0.001353731,0.022074108,CD96
4.837024477,1.659510102,0.572220374,2.900124111,0.003730149,0.043194048,LY86
4.072643333,1.629474286,0.505101877,3.226030946,0.001255198,0.021802241,SUCNR1
2.625297449,1.615765569,0.582341132,2.774603203,0.00552691,0.052571437,CSF1R
4.841372578,1.573891631,0.408992729,3.848214209,0.000118982,0.003802665,ITGAX
27.51073043,1.226516927,0.307578526,3.987654616,6.67E-05,0.002318132,CD9
5.16348757,1.225208682,0.589786449,2.077376792,0.037766796,0.190810129,C3AR1
2.798347919,1.219791325,0.379082507,3.217746275,0.001292021,0.02181058,TBXA2R
3.722564555,1.091855799,0.663639168,1.64525521,0.099917192,0.336851632,RXFP1
9.290201903,1.079392011,0.445239191,2.424296945,0.015338058,0.111410077,TNFRSF4
14.25978636,1.028476654,0.316656757,3.247922654,0.001162509,0.021110101,IL1RAP
3.617575839,1.026178719,0.448167501,2.289721404,0.022037472,0.143153984,TNFRSF18
45.76934185,1.024692963,0.219936913,4.659031299,3.18E-06,0.000211536,PLP2
3.438366386,1.010422541,0.329356033,3.067873178,0.002155881,0.031323806,CALHM2
3.855047233,1.008164154,0.348954146,2.889102095,0.003863436,0.04408846,KCNE3
2.702916128,0.962316066,0.405167346,2.375107655,0.017543833,0.120840708,MILR1
3.278272461,0.955850692,0.42167709,2.266783555,0.023403451,0.14959486,ECE1
14.45725653,0.951116713,0.19592206,4.854566718,1.21E-06,8.76E-05,IL3RA
1.504192566,0.879370068,0.554073576,1.587099813,0.11249004,0.360962017,GGT5
30.00963024,0.875796036,0.633760924,1.381902864,0.167001529,0.43148073,MPO
77.22379738,0.86689403,0.238780929,3.630499446,0.000282873,0.006347303,HCST
12.27984494,0.844653725,0.388954379,2.171601019,0.02988577,0.165682501,CLEC12A
2.633458656,0.826710438,0.342260276,2.415443733,0.01571605,0.111668174,HYAL2
15.79222516,0.818516865,0.42905177,1.907734502,0.05642554,0.241090944,LTB
9.065878895,0.794214462,0.272881809,2.910470528,0.00360885,0.042403988,CD68
6.676488697,0.778860703,0.377656271,2.062353426,0.0391741,0.193753491,APOBR
16.58457703,0.768717699,0.279533561,2.750001459,0.0059595,0.053501578,TSPAN2
6.211258659,0.752754053,0.542363761,1.387913625,0.165163348,0.428459466,PDGFA
3.295171064,0.747553381,0.467580876,1.598768081,0.109872144,0.355416368,ITGB7
10.53538654,0.745917042,0.344281008,2.166593639,0.030265853,0.165682501,CD33
23.79755096,0.732693557,0.234459346,3.125034554,0.001777842,0.027138191,IL2RG
143.0173017,0.724121324,0.207380277,3.491755986,0.000479856,0.010362305,EMP3
10.942886,0.721943173,0.282673795,2.553979838,0.010649942,0.084250534,SELPLG
2.964739328,0.720256171,0.522800577,1.377688172,0.168299585,0.43148073,NRG4
268.5704532,0.690475127,0.164501647,4.197375164,2.70E-05,0.001135532,CD99
8.578189264,0.685836833,0.438156762,1.565277301,0.117517903,0.371025007,CD7
34.92375329,0.66299856,0.236395334,2.804617796,0.005037628,0.048494753,EMB
7.565420353,0.650152503,0.298933541,2.17490651,0.029637123,0.165682501,TNFRSF1B
7.654389732,0.634595154,0.325006359,1.952562268,0.050871486,0.225812873,TSPAN4
4.759943264,0.631180546,0.284820754,2.216062339,0.026687233,0.160411348,SLC43A2
3.414760171,0.627360714,0.199205138,3.149319953,0.001636509,0.025638643,MFSD5
2.743037117,0.624824409,0.317800629,1.966089274,0.049288299,0.222493509,FAS
23.81757033,0.619060377,0.202842847,3.051921153,0.002273818,0.031323806,S1PR4
10.15100373,0.598724683,0.322538241,1.856290536,0.063412157,0.259647331,LTC4S
28.16205761,0.57223305,0.217194623,2.634655691,0.008422267,0.070002319,ITGB2
132.6154005,0.569563112,0.306567322,1.857872874,0.063187069,0.259647331,LMNA
