sample_id,Donor,Study,consensus_label_6votes,n_cells
Abbas_Abbas_PT4A_HSPC,Abbas_Abbas_PT4A,Abbas,HSPC,104
Abbas_Abbas_PT4A_LSPC,Abbas_Abbas_PT4A,Abbas,LSPC,36
Abbas_Abbas_PT5A_HSPC,Abbas_Abbas_PT5A,Abbas,HSPC,109
Abbas_Abbas_PT5A_LSPC,Abbas_Abbas_PT5A,Abbas,LSPC,83
Abbas_Abbas_PT7A_HSPC,Abbas_Abbas_PT7A,Abbas,HSPC,74
Abbas_Abbas_PT7A_LSPC,Abbas_Abbas_PT7A,Abbas,LSPC,28
Ennis_Ennis_AML1216_HSPC,Ennis_Ennis_AML1216,Ennis,HSPC,413
Ennis_Ennis_AML1216_LSPC,Ennis_Ennis_AML1216,Ennis,LSPC,114
Ennis_Ennis_AML1886_HSPC,Ennis_Ennis_AML1886,Ennis,HSPC,61
Ennis_Ennis_AML1886_LSPC,Ennis_Ennis_AML1886,Ennis,LSPC,638
Ennis_Ennis_AML3904_HSPC,Ennis_Ennis_AML3904,Ennis,HSPC,178
Ennis_Ennis_AML3904_LSPC,Ennis_Ennis_AML3904,Ennis,LSPC,411
Ennis_Ennis_AML4978_HSPC,Ennis_Ennis_AML4978,Ennis,HSPC,17
Ennis_Ennis_AML4978_LSPC,Ennis_Ennis_AML4978,Ennis,LSPC,395
Ennis_Ennis_AML5750_HSPC,Ennis_Ennis_AML5750,Ennis,HSPC,36
Ennis_Ennis_AML5750_LSPC,Ennis_Ennis_AML5750,Ennis,LSPC,35
Ennis_Ennis_AML6323_HSPC,Ennis_Ennis_AML6323,Ennis,HSPC,93
Ennis_Ennis_AML6323_LSPC,Ennis_Ennis_AML6323,Ennis,LSPC,151
Ennis_Ennis_AML40389_HSPC,Ennis_Ennis_AML40389,Ennis,HSPC,52
Ennis_Ennis_AML40389_LSPC,Ennis_Ennis_AML40389,Ennis,LSPC,27
Guo_Guo_PT16A_HSPC,Guo_Guo_PT16A,Guo,HSPC,15
Guo_Guo_PT16A_LSPC,Guo_Guo_PT16A,Guo,LSPC,308
Guo_Guo_PT22A_HSPC,Guo_Guo_PT22A,Guo,HSPC,50
Guo_Guo_PT22A_LSPC,Guo_Guo_PT22A,Guo,LSPC,17
Guo_Guo_PT23A_HSPC,Guo_Guo_PT23A,Guo,HSPC,146
Guo_Guo_PT23A_LSPC,Guo_Guo_PT23A,Guo,LSPC,40
Guo_Guo_PT27A_HSPC,Guo_Guo_PT27A,Guo,HSPC,1411
Guo_Guo_PT27A_LSPC,Guo_Guo_PT27A,Guo,LSPC,40
Guo_Guo_PT28A_HSPC,Guo_Guo_PT28A,Guo,HSPC,228
Guo_Guo_PT28A_LSPC,Guo_Guo_PT28A,Guo,LSPC,81
Guo_Guo_PT29A_HSPC,Guo_Guo_PT29A,Guo,HSPC,159
Guo_Guo_PT29A_LSPC,Guo_Guo_PT29A,Guo,LSPC,101
Henrik_Lilljebjorn_AML21_HSPC,Henrik_Lilljebjorn_AML21,Henrik,HSPC,89
Henrik_Lilljebjorn_AML21_LSPC,Henrik_Lilljebjorn_AML21,Henrik,LSPC,59
Henrik_Lilljebjorn_AML28_HSPC,Henrik_Lilljebjorn_AML28,Henrik,HSPC,38
Henrik_Lilljebjorn_AML28_LSPC,Henrik_Lilljebjorn_AML28,Henrik,LSPC,164
Henrik_Lilljebjorn_AML32_HSPC,Henrik_Lilljebjorn_AML32,Henrik,HSPC,26
Henrik_Lilljebjorn_AML32_LSPC,Henrik_Lilljebjorn_AML32,Henrik,LSPC,89
Henrik_Lilljebjorn_AML34_HSPC,Henrik_Lilljebjorn_AML34,Henrik,HSPC,12
Henrik_Lilljebjorn_AML34_LSPC,Henrik_Lilljebjorn_AML34,Henrik,LSPC,356
Henrik_Lilljebjorn_AML48_HSPC,Henrik_Lilljebjorn_AML48,Henrik,HSPC,55
Henrik_Lilljebjorn_AML48_LSPC,Henrik_Lilljebjorn_AML48,Henrik,LSPC,28
Henrik_Lilljebjorn_AML80_HSPC,Henrik_Lilljebjorn_AML80,Henrik,HSPC,21
Henrik_Lilljebjorn_AML80_LSPC,Henrik_Lilljebjorn_AML80,Henrik,LSPC,122
Henrik_Lilljebjorn_AML117_HSPC,Henrik_Lilljebjorn_AML117,Henrik,HSPC,18
Henrik_Lilljebjorn_AML117_LSPC,Henrik_Lilljebjorn_AML117,Henrik,LSPC,58
Henrik_Lilljebjorn_AML136_HSPC,Henrik_Lilljebjorn_AML136,Henrik,HSPC,78
Henrik_Lilljebjorn_AML136_LSPC,Henrik_Lilljebjorn_AML136,Henrik,LSPC,96
Henrik_Lilljebjorn_AML138_HSPC,Henrik_Lilljebjorn_AML138,Henrik,HSPC,19
Henrik_Lilljebjorn_AML138_LSPC,Henrik_Lilljebjorn_AML138,Henrik,LSPC,49
Henrik_Lilljebjorn_AML155_HSPC,Henrik_Lilljebjorn_AML155,Henrik,HSPC,27
Henrik_Lilljebjorn_AML155_LSPC,Henrik_Lilljebjorn_AML155,Henrik,LSPC,31
Henrik_Lilljebjorn_AML157_HSPC,Henrik_Lilljebjorn_AML157,Henrik,HSPC,47
Henrik_Lilljebjorn_AML157_LSPC,Henrik_Lilljebjorn_AML157,Henrik,LSPC,22
Henrik_Lilljebjorn_AML172_HSPC,Henrik_Lilljebjorn_AML172,Henrik,HSPC,10
Henrik_Lilljebjorn_AML172_LSPC,Henrik_Lilljebjorn_AML172,Henrik,LSPC,180
Naldini_PT01_HSPC,Naldini_PT01,Naldini,HSPC,135
Naldini_PT01_LSPC,Naldini_PT01,Naldini,LSPC,486
Naldini_PT02_HSPC,Naldini_PT02,Naldini,HSPC,30
Naldini_PT02_LSPC,Naldini_PT02,Naldini,LSPC,41
Naldini_PT06_HSPC,Naldini_PT06,Naldini,HSPC,1374
Naldini_PT06_LSPC,Naldini_PT06,Naldini,LSPC,24
Naldini_PT07_HSPC,Naldini_PT07,Naldini,HSPC,280
Naldini_PT07_LSPC,Naldini_PT07,Naldini,LSPC,16
Naldini_PT08_HSPC,Naldini_PT08,Naldini,HSPC,83
Naldini_PT08_LSPC,Naldini_PT08,Naldini,LSPC,53
Naldini_PT12_HSPC,Naldini_PT12,Naldini,HSPC,189
Naldini_PT12_LSPC,Naldini_PT12,Naldini,LSPC,41
Naldini_PT15_HSPC,Naldini_PT15,Naldini,HSPC,52
Naldini_PT15_LSPC,Naldini_PT15,Naldini,LSPC,117
Petti_Petti_809653_HSPC,Petti_Petti_809653,Petti,HSPC,24
Petti_Petti_809653_LSPC,Petti_Petti_809653,Petti,LSPC,119
vanGalen_AML328_HSPC,vanGalen_AML328,vanGalen,HSPC,48
vanGalen_AML328_LSPC,vanGalen_AML328,vanGalen,LSPC,971
vanGalen_AML707B_HSPC,vanGalen_AML707B,vanGalen,HSPC,20
vanGalen_AML707B_LSPC,vanGalen_AML707B,vanGalen,LSPC,109
vanGalen_AML916_HSPC,vanGalen_AML916,vanGalen,HSPC,10
vanGalen_AML916_LSPC,vanGalen_AML916,vanGalen,LSPC,189
