gene,pseudobulk_log2FC,pseudobulk_padj,lmm_coefficient,lmm_padj
TYROBP,1.9964465854089004,9.208199167702742e-10,1.061887204369245,2.324543535961013e-171
AREG,-2.773878326078026,1.3500191981055357e-05,-0.595942234684589,5.007259800590344e-60
IL3RA,0.8917863891310693,0.00016624615479239163,0.2870503166036827,8.075976697157404e-21
EREG,-1.9605489184685236,0.0047486569656309575,-0.4956886308627232,1.6087287529243182e-60
HCST,0.8485493805313292,0.006653413085442338,0.9254167083023158,4.7803234311354465e-115
CXCR4,-1.2037173486639776,0.007092894645203413,-0.207854245279519,7.815796621001596e-11
AVP,-1.9628076384844224,0.01311406570435163,-0.5956347448492578,1.2721213457780927e-63
CLDN15,-0.7920792874869453,0.01599755810102603,-0.0929693120199273,7.588250505016263e-06
CD96,1.6792357587174842,0.03364007758335339,0.2212545350882838,6.5733127109615834e-15
IL2RG,0.6855135488288231,0.03657709341910495,0.3714022510018308,3.525373308178299e-28
CTSC,0.5441164273736588,0.03725242102953777,0.3924198340493028,7.798510733370682e-21
EMB,0.6293058380476652,0.039292032247904965,0.4821070245042322,1.260998161066922e-31
CD36,1.7838066610900303,0.04009246394346503,0.3301838872555411,7.994488713089812e-24
