Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Parkinson disease,0.6587705470656595,3.125202323683032,0.0,0.0,0.0,106/157,18.84%,VDAC1;NDUFAB1;NDUFA12;PSMB1;GNAI2;COX5A;PSMA5;TUBB6;TXN;PSMA4;PSMA7;SDHC;BAX;COX8A;PSMB2;PSMB3;COX7A2;PSMD7;PSMB5;VDAC3;NDUFA8;SLC25A6;COX6C;COX5B;NDUFS3;PSMB4;SLC25A5;PSMB6;NDUFV2;SDHD;NDUFS8;UBE2L3;NDUFA4;EIF2S1;COX6A1;PSMD4;COX7B;PSMD13;COX6B1;PARK7;NDUFB3;ADRM1;SDHB;NDUFC2;UQCR10;NDUFB9;DAXX;UBA52;NDUFB5;CALM2;PSMC1;NDUFB7;UQCRFS1;NDUFB11;NDUFB4;TXN2;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;NDUFS6;UBE2L6;COX7A2L;NDUFA11;PSMD8;NDUFB10;UQCRH;PSMB7;NDUFB1;COX7C;UQCRC1;CYC1;CALM1;PSMD1;PSMD2;UBE2J1;GNAS;PSMC5;PINK1;NDUFA3;NDUFS2;NDUFA6;UQCRQ;CALM3;NDUFA1;COX4I1;MFN1;UQCRB;NDUFS4;NDUFS5;GNAI3;PSMD3;KIF5B;NDUFB6;PSMA1;UBE2J2;NDUFS7;PSMA3;TUBA1C;PSMD11;PSMD6;PSMC2;PSMD14;NDUFA2
prerank,Diabetic cardiomyopathy,0.6529993690065445,3.017910797458378,0.0,0.0,0.0,74/123,16.25%,VDAC1;NDUFAB1;NDUFA12;PPP1CA;RAC2;COX5A;SDHC;COX8A;COX7A2;CPT2;MPC1;VDAC3;NDUFA8;SLC25A6;COX6C;COX5B;NDUFS3;RAC1;SLC25A5;PDHA1;NDUFV2;PDHB;SDHD;NDUFS8;NDUFA4;COX6A1;NCF4;CYBA;COX7B;PARP1;COX6B1;NDUFB3;MPC2;SDHB;NDUFC2;UQCR10;NDUFB9;CD36;NDUFB5;NDUFB7;UQCRFS1;NDUFB11;NDUFB4;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;NDUFS6;TGFB1;COX7A2L;NDUFA11;NDUFB10;UQCRH;NDUFB1;COX7C;UQCRC1;CYC1;NCF2;NDUFA3;NDUFS2;NDUFA6;AKT1;UQCRQ;NDUFA1;PRKCD;COX4I1;SMAD2;UQCRB;NDUFS4;PPP1CC;NDUFS5;NDUFB6
prerank,Oxidative phosphorylation,0.698919454137591,2.986463362653136,0.0,0.0,0.0,65/85,20.85%,NDUFAB1;NDUFA12;COX5A;SDHC;COX8A;COX7A2;NDUFA8;COX6C;COX5B;NDUFS3;PPA1;NDUFV2;SDHD;NDUFS8;NDUFA4;COX6A1;COX17;COX7B;COX6B1;NDUFB3;SDHB;NDUFC2;ATP6V1F;UQCR10;NDUFB9;ATP6V1G1;NDUFB5;NDUFB7;UQCRFS1;NDUFB11;ATP6V0E1;NDUFB4;NDUFA9;NDUFB2;NDUFC1;UQCRC2;NDUFS6;COX7A2L;NDUFA11;NDUFB10;UQCRH;NDUFB1;COX7C;UQCRC1;CYC1;NDUFA3;ATP6V1E1;NDUFS2;NDUFA6;UQCRQ;NDUFA1;COX4I1;PPA2;UQCRB;NDUFS4;NDUFS5;COX11;NDUFB6;ATP6V0B;NDUFS7;NDUFA2;ATP6V1B2;ATP6V1A;NDUFS1;COX15
prerank,Prion disease,0.6245888507812968,2.969516127327282,0.0,0.0,0.0,100/161,18.84%,VDAC1;NDUFAB1;NDUFA12;PSMB1;RAC2;COX5A;PSMA5;TUBB6;PSMA4;PSMA7;SDHC;BAX;COX8A;PSMB2;PSMB3;COX7A2;PSMD7;PSMB5;VDAC3;NDUFA8;SLC25A6;COX6C;COX5B;NDUFS3;RAC1;PSMB4;CSNK2A1;SLC25A5;PSMB6;CCL5;NDUFV2;SDHD;NDUFS8;NDUFA4;EIF2S1;COX6A1;NCF4;PSMD4;CYBA;COX7B;PSMD13;COX6B1;NDUFB3;ADRM1;SDHB;NDUFC2;UQCR10;MAPK1;NDUFB9;NDUFB5;PSMC1;NDUFB7;UQCRFS1;NDUFB11;NDUFB4;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;NDUFS6;COX7A2L;NDUFA11;PSMD8;NDUFB10;UQCRH;PSMB7;NDUFB1;COX7C;UQCRC1;CYC1;PSMD1;PSMD2;NCF2;PSMC5;NDUFA3;NDUFS2;NDUFA6;UQCRQ;NDUFA1;PRKCD;COX4I1;CSNK2B;UQCRB;NDUFS4;NDUFS5;PSMD3;KIF5B;NDUFB6;PSMA1;CSNK2A2;NDUFS7;PSMA3;TUBA1C;PSMD11;PSMD6;PSMC2;PSMD14;NDUFA2
prerank,Huntington disease,0.5612624114092799,2.767217277448262,0.0,0.0,0.0,113/194,21.45%,VDAC1;NDUFAB1;NDUFA12;PSMB1;COX5A;PSMA5;TUBB6;PSMA4;PSMA7;SDHC;BAX;COX8A;PSMB2;PSMB3;AP2M1;CLTA;COX7A2;PSMD7;PSMB5;VDAC3;NDUFA8;HDAC1;SLC25A6;COX6C;COX5B;NDUFS3;PSMB4;SLC25A5;DCTN3;PSMB6;NDUFV2;SDHD;NDUFS8;NDUFA4;COX6A1;PSMD4;COX7B;PSMD13;COX6B1;NDUFB3;ADRM1;SDHB;NDUFC2;POLR2L;UQCR10;NDUFB9;ACTR10;NDUFB5;PSMC1;NDUFB7;UQCRFS1;NDUFB11;POLR2G;CLTC;REST;NDUFB4;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;DCTN2;NDUFS6;ACTR1B;GPX7;COX7A2L;NDUFA11;PSMD8;NDUFB10;UQCRH;PSMB7;NDUFB1;COX7C;UQCRC1;CYC1;PSMD1;PSMD2;PSMC5;NDUFA3;NDUFS2;NDUFA6;UQCRQ;NDUFA1;COX4I1;POLR2E;UQCRB;NDUFS4;NDUFS5;DNAL4;PSMD3;KIF5B;NDUFB6;PSMA1;AP2S1;HDAC2;NDUFS7;PSMA3;TUBA1C;PSMD11;PSMD6;PSMC2;BECN1;PSMD14;NDUFA2;IFT57;PSMC4;WIPI2;HIP1;NDUFS1;DCTN1;NRBF2;AP2B1
prerank,Proteasome,0.7197300792640636,2.677177659226842,0.0,0.0,0.0,32/42,19.48%,PSMB1;PSMA5;PSMA4;POMP;PSMA7;PSMB2;PSMB3;PSMD7;PSMB5;PSMB4;PSMB6;PSMD4;PSMD13;ADRM1;PSMC1;PSME2;PSMF1;PSMD8;PSMB7;PSME1;PSMD1;PSMD2;PSMC5;PSMB8;PSMD3;PSMA1;PSMA3;PSMD11;PSMD6;PSMC2;PSMD14;PSMC4
prerank,Pathways of neurodegeneration,0.5191062884017829,2.660289668835441,0.0,0.0,0.0,134/271,19.48%,VDAC1;CAPN1;NDUFAB1;NDUFA12;PSMB1;COX5A;PSMA5;TNFRSF1A;TUBB6;PSMA4;PSMA7;SDHC;BAX;COX8A;PSMB2;PSMB3;COX7A2;PSMD7;PSMB5;VDAC3;NDUFA8;SLC25A6;COX6C;COX5B;NDUFS3;RAC1;PSMB4;CSNK2A1;SLC25A5;DCTN3;KRAS;PSMB6;NDUFV2;SDHD;NDUFS8;UBE2L3;PPID;NDUFA4;EIF2S1;COX6A1;PSMD4;COX7B;PSMD13;COX6B1;PARK7;NDUFB3;ADRM1;SDHB;NDUFC2;UQCR10;WDR41;MAPK1;NDUFB9;ACTR10;DAXX;UBA52;NDUFB5;CALM2;PSMC1;NDUFB7;UQCRFS1;NDUFB11;NDUFB4;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;DCTN2;FADD;NDUFS6;ACTR1B;UBE2L6;GPX7;BID;COX7A2L;MAP2K2;NDUFA11;PSMD8;NDUFB10;UQCRH;HSD17B10;PSMB7;NDUFB1;RAB8A;COX7C;UQCRC1;CYC1;CALM1;PSMD1;NRAS;PSMD2;CAT;UBE2J1;CCS;PSMC5;PINK1;CAPN2;NDUFA3;NDUFS2;NDUFA6;BAK1;UQCRQ;CALM3;NDUFA1;COX4I1;CSNK2B;VAPB;MFN1;UQCRB;NDUFS4;NDUFS5;FIG4;DNAL4;PSMD3;KIF5B;NDUFB6;PSMA1;UBE2J2;CSNK2A2;NDUFS7;PSMA3;TUBA1C;PSMD11;PSMD6;PSMC2;BECN1;PSMD14;NDUFA2;HRAS;IFT57;GABARAPL2;PSMC4
prerank,Alzheimer disease,0.5318933170120889,2.647304668107206,0.0,0.0,0.0,112/215,19.48%,VDAC1;CAPN1;NDUFAB1;NDUFA12;PSMB1;COX5A;PSMA5;TNFRSF1A;TUBB6;PSMA4;PSMA7;SDHC;COX8A;PSMB2;PSMB3;COX7A2;PSMD7;PSMB5;VDAC3;NDUFA8;SLC25A6;COX6C;COX5B;NDUFS3;PSMB4;CSNK2A1;SLC25A5;KRAS;PSMB6;NDUFV2;SDHD;NDUFS8;PPID;NDUFA4;EIF2S1;PSENEN;COX6A1;PSMD4;COX7B;PSMD13;COX6B1;NDUFB3;ADRM1;SDHB;NDUFC2;UQCR10;MAPK1;NDUFB9;RTN4;NDUFB5;CALM2;PSMC1;NDUFB7;UQCRFS1;NDUFB11;NDUFB4;NDUFA9;NDUFB2;VDAC2;NDUFC1;MAPK9;UQCRC2;FADD;NDUFS6;BID;COX7A2L;MAP2K2;NDUFA11;PSMD8;NDUFB10;UQCRH;HSD17B10;PSMB7;NDUFB1;COX7C;UQCRC1;CYC1;CALM1;PSMD1;NRAS;PSMD2;PSMC5;APH1A;CAPN2;NDUFA3;NDUFS2;NDUFA6;AKT1;UQCRQ;CALM3;NDUFA1;COX4I1;CSNK2B;UQCRB;NDUFS4;NDUFS5;PSMD3;KIF5B;NDUFB6;PSMA1;CSNK2A2;NDUFS7;PSMA3;TUBA1C;PSMD11;PSMD6;PSMC2;BECN1;PSMD14;NDUFA2;HRAS;PSMC4
prerank,Thermogenesis,0.5540565140877525,2.6182373621467074,0.0,0.0,0.0,74/145,20.99%,NDUFAB1;NDUFA12;COX5A;ACTG1;SDHC;COX8A;COX7A2;CPT2;NDUFA8;COX6C;COX5B;NDUFS3;KRAS;NDUFV2;SDHD;NDUFS8;NDUFA4;COX6A1;ACSL4;COA6;COX17;COX7B;COX6B1;NDUFB3;SDHB;NDUFC2;UQCR10;NDUFB9;NDUFB5;NDUFB7;UQCRFS1;NDUFB11;COA3;NDUFB4;NDUFA9;NDUFB2;NDUFC1;UQCRC2;NDUFS6;COX7A2L;NDUFA11;NDUFB10;UQCRH;NDUFB1;COX7C;UQCRC1;COA5;CYC1;COA4;NRAS;GNAS;SMARCB1;NDUFA3;SMARCE1;NDUFS2;NDUFA6;UQCRQ;NDUFA1;COX4I1;COX14;UQCRB;NDUFS4;NDUFS5;COX11;NDUFB6;NDUFS7;NDUFA2;SLC25A20;HRAS;ACTL6A;SMARCD2;NDUFS1;COX15;NDUFAF1
prerank,Bacterial invasion of epithelial cells,0.6683021801636003,2.545060772940965,0.0,0.0,0.0,18/44,8.63%,ARPC3;RHOA;ACTR2;ARPC2;ARPC1B;RHOG;CDC42;ACTG1;ARPC5;CLTA;ILK;ACTR3;RAC1;ARPC1A;ARPC4;VCL;CLTC;WASF2
