Cell Type,Source Dataset,Total Cells,Malignant,Normal,Malignant (%),Normal (%)
HSC MPP,Overall,62325,12724,33219,27.7,72.3
HSC MPP,Mende,20464,1,20463,0.0,100.0
HSC MPP,Abbas,1635,207,389,34.7,65.3
HSC MPP,Ennis_DG,2933,763,814,48.4,51.6
HSC MPP,Ennis_MRD,1178,69,606,10.2,89.8
HSC MPP,Ennis_REL,2785,1015,635,61.5,38.5
HSC MPP,Guo,12543,623,5633,10.0,90.0
HSC MPP,Henrik_DG,9960,3680,1981,65.0,35.0
HSC MPP,Naldini_DG,3630,765,2158,26.2,73.8
HSC MPP,Naldini_MRD,895,90,359,20.0,80.0
HSC MPP,Naldini_REL,279,115,24,82.7,17.3
HSC MPP,Petti_DG,3961,3596,31,99.1,0.9
HSC MPP,vanGalen,2062,1800,126,93.5,6.5
LMPP,Overall,61398,23529,4023,85.4,14.6
LMPP,Mende,5444,5,709,0.7,99.3
LMPP,Abbas,8188,1311,851,60.6,39.4
LMPP,Ennis_DG,2804,904,32,96.6,3.4
LMPP,Ennis_MRD,170,38,15,71.7,28.3
LMPP,Ennis_REL,3367,1273,99,92.8,7.2
LMPP,Guo,10084,682,1806,27.4,72.6
LMPP,Henrik_DG,13454,5584,408,93.2,6.8
LMPP,Naldini_DG,4814,3045,23,99.3,0.7
LMPP,Naldini_MRD,298,94,53,63.9,36.1
LMPP,Naldini_REL,1425,1224,5,99.6,0.4
LMPP,Petti_DG,11083,9105,22,99.8,0.2
LMPP,vanGalen,267,264,0,100.0,0.0
Early GMP,Overall,128776,76142,7223,91.3,8.7
Early GMP,Mende,8818,82,328,20.0,80.0
Early GMP,Abbas,1768,1022,56,94.8,5.2
Early GMP,Ennis_DG,9922,7118,360,95.2,4.8
Early GMP,Ennis_MRD,868,380,136,73.6,26.4
Early GMP,Ennis_REL,14551,10370,545,95.0,5.0
Early GMP,Guo,19628,9358,798,92.1,7.9
Early GMP,Henrik_DG,46970,26714,4648,85.2,14.8
Early GMP,Naldini_DG,8907,6839,145,97.9,2.1
Early GMP,Naldini_MRD,459,292,10,96.7,3.3
Early GMP,Naldini_REL,5333,4141,87,97.9,2.1
Early GMP,Petti_DG,10241,8676,48,99.4,0.6
Early GMP,vanGalen,1311,1150,62,94.9,5.1
