anchor,partner,n_donors,dual_lspc_mean,dual_lspc_sd,dual_hspc_mean,dual_hspc_sd,wilcoxon_statistic,wilcoxon_pvalue
ANXA1,LGALS3BP,60,15.757400682195138,17.116075672197866,3.807508981085439,6.048050848367876,52.0,1.4851010661622336e-07
CAPNS1,TYROBP,60,26.311571243209915,18.616533156884536,3.721866195431501,5.641507152651967,41.0,1.8842311219219275e-10
CD63,TYROBP,60,47.76534960237198,26.92059034319984,9.700158877506768,13.811255677652078,7.0,3.422926280570284e-11
CD9,TYROBP,60,21.34348720749185,20.40420664151214,1.719086031114849,2.540753681850988,18.0,1.9846261162133033e-10
CD96,VIM,60,13.105536833950222,18.308969520865876,2.0987175456319713,5.2419179385231445,63.0,4.6184087421263736e-07
CD99,CD96,60,13.531366305838349,18.280572706438285,2.791325098185358,7.165651504310836,80.0,2.080368201651034e-06
CTSA,TYROBP,60,26.999817192869113,22.251450636331892,4.0358954820396455,8.210810844766463,8.0,7.865381911292028e-11
CTSC,TYROBP,60,32.27893291056184,22.607238018004946,6.099453954535762,9.988773959958838,14.0,7.259972123432283e-11
CYBA,TYROBP,60,51.95083681218021,28.869774659313716,11.182142613103155,13.954171470505917,6.0,3.2522737842536165e-11
EMB,TYROBP,60,27.81675513325442,20.785295451109555,5.074402577650798,9.49077104385961,9.0,1.2271181135184272e-10
EMP3,TYROBP,60,44.57324773830114,28.50347501099358,9.739953153906157,14.714560901883917,18.0,8.919410123936717e-11
EZR,EEF1A1,60,38.88387735150982,24.3483959801843,24.22823523051712,19.731069334065275,215.0,4.255821001793061e-07
FCER1G,EEF1A1,60,21.79315567487128,18.048827970307595,6.316435399600009,7.166859974701525,120.0,1.2373620017694156e-08
HCST,EMB,60,30.18712931706323,21.067397877723028,7.993224611603784,11.58763968399949,35.0,1.4010403794590312e-10
IL1RAP,EEF1A1,60,23.287285107864747,20.094210180133032,9.89697052919498,15.650943092966898,179.0,1.625914624945584e-07
IL2RG,TYROBP,60,24.091766938894946,20.84982714785616,5.601385102625147,14.999954393955,65.0,3.486549389013724e-09
IL3RA,TYROBP,60,18.68844365803584,16.022845719522568,3.9350427965909347,13.340138698741363,81.0,4.954946666790717e-09
PLP2,TYROBP,60,34.74710174421761,23.69662303072754,5.967621183779002,9.739281227916388,7.0,7.460343560857897e-11
S100A10,EEF1A1,60,56.45295526533972,29.896781875764713,26.566348040970748,23.88953214065043,40.5,1.8381439715906795e-10
S1PR4,EEF1A1,60,32.33650494836601,21.06508843617902,15.404433619396261,12.790974881076384,164.0,3.228629101370945e-08
SLC9A3R1,TYROBP,60,27.081913609618947,22.197465083772613,5.473286041037555,10.863239015671695,53.0,5.190497723856901e-10
TAGLN2,CD96,60,12.922936039833933,17.820392071656702,1.4960043178653584,4.7502475550227095,20.0,6.839738439571716e-08
TGFB1,TYROBP,60,31.437944659540094,24.017656042827554,5.885380401977264,9.442005665562641,59.0,1.074230489981854e-09
TIMP1,TYROBP,60,37.42053428346176,25.44600135635764,5.8894597634557435,10.159207447479739,4.0,4.321627575476236e-11
TYROBP,EMB,60,27.81675513325442,20.785295451109555,5.074402577650798,9.49077104385961,9.0,1.2271181135184272e-10
VDAC1,TYROBP,60,29.497931101251215,19.920579515402487,4.873902927202942,8.552908508727542,39.0,2.588233051954327e-10
VIM,CD96,60,13.105536833950222,18.308969520865876,2.0987175456319713,5.2419179385231445,63.0,4.6184087421263736e-07
