anchor,partner,anchor_lspc,anchor_hspc,partner_lspc,partner_hspc,dual_lspc,dual_hspc,anchor_specificity,dual_specificity,efficacy_loss,efficacy_retention,specificity_gain_abs,specificity_gain_ratio,composite_score
CD9,TYROBP,38.18788668186259,11.29844762002673,72.33800065125367,18.926698879407834,30.13676326929339,1.829957849285494,3.379624205185019,16.459561469999894,8.051123412569197,78.91707525047964,13.079937264814875,4.870234224487929,0.8945853762523982
CD96,VIM,27.9469228264409,1.0589081936876734,89.62064474112667,80.15832219594942,26.155975252360793,0.7916109797470957,26.367305199525717,32.99976397085311,1.790947574080107,93.59161083600348,6.632458771327393,1.2515410172233563,0.799580992746387
EMB,TYROBP,59.703679583197655,16.82944381618176,72.33800065125367,18.926698879407834,46.580918267665254,3.9683355608101163,3.5473621631887737,11.735192843751005,13.1227613155324,78.02017998363785,8.18783068056223,3.3081462517495184,0.7994924339463008
CD9,EMB,38.18788668186259,11.29844762002673,59.703679583197655,16.82944381618176,25.643112992510584,2.0972550632260716,3.379624205185019,12.221161021808399,12.544773689352002,67.14986143679387,8.84153681662338,3.6161301611755223,0.7778261480151383
CD96,TAGLN2,27.9469228264409,1.0589081936876734,88.04135460761967,83.7051506116994,25.358189514816022,0.7916109797470957,26.367305199525717,31.99323522228679,2.5887333116248783,90.7369647538596,5.625930022761072,1.2133676528636028,0.7349813249073516
TYROBP,EMB,72.33800065125367,18.926698879407834,59.703679583197655,16.82944381618176,46.580918267665254,3.9683355608101163,3.8218063966535802,11.735192843751005,25.75708238358841,64.39342786405582,7.913386447097425,3.0705879957777245,0.7176364616751503
TYROBP,CD9,72.33800065125367,18.926698879407834,38.18788668186259,11.29844762002673,30.13676326929339,1.829957849285494,3.8218063966535802,16.459561469999894,42.201237381960276,41.661039837947335,12.637755073346314,4.306749155167066,0.7083051991897367
EMB,CD9,59.703679583197655,16.82944381618176,38.18788668186259,11.29844762002673,25.643112992510584,2.0972550632260716,3.5473621631887737,12.221161021808399,34.060566590687074,42.950640850831746,8.673798858619625,3.4451404902009286,0.64844314718514
VIM,CD96,89.62064474112667,80.15832219594942,27.9469228264409,1.0589081936876734,26.155975252360793,0.7916109797470957,1.118031468904503,32.99976397085311,63.46466948876588,29.18521209919157,31.881732501948605,29.51595271570285,0.6459260604959578
CD99,CD96,89.77531748616086,78.35920633288784,27.9469228264409,1.0589081936876734,25.952458482578965,0.8738562763441966,1.145674848082707,29.664825165372,63.8228590035819,28.908233587232502,28.519150317289295,25.89288332114146,0.6445411679361626
TAGLN2,CD96,88.04135460761967,83.7051506116994,27.9469228264409,1.0589081936876734,25.358189514816022,0.7916109797470957,1.0517907461308387,31.99323522228679,62.68316509280365,28.802588996763756,30.94144447615595,30.417870988101424,0.6440129449838188
IL3RA,TYROBP,33.46629762292413,11.833042047907885,72.33800065125367,18.926698879407834,27.596873982416152,3.7318803330934514,2.827968456377132,7.3929168684458,5.8694236405079785,82.46168815373387,4.564948412068668,2.614214756099775,0.6405558613721029
IL2RG,TYROBP,44.51318788668186,16.305130050375244,72.33800065125367,18.926698879407834,35.44448062520352,4.739385216407936,2.729843791823401,7.4771308674491745,9.068707261478345,79.62692026335041,4.747287075625774,2.7390325006306755,0.6354989550980408
CTSC,TYROBP,60.485183979159885,40.74226380178884,72.33800065125367,18.926698879407834,48.10322370563335,7.895548473321682,1.4845443966740897,6.091677125537701,12.381960273526538,79.52893674293405,4.607132728863611,4.103398415827264,0.6280013201578508
CTSA,TYROBP,36.144578313253014,24.046468592577362,72.33800065125367,18.926698879407834,29.306414848583522,5.02724375449779,1.5030512743619766,5.8283600158343125,6.838163464669492,81.08108108108108,4.325308741472336,3.8776854224805914,0.6216708424790222
VDAC1,TYROBP,49.86160859654836,34.40937596381207,72.33800065125367,18.926698879407834,38.4890915011397,6.579623727768069,1.4490283003296942,5.84885158206636,11.37251709540866,77.19183673469388,4.399823281736666,4.036395687189535,0.6059503477603027
TGFB1,TYROBP,53.80983393031586,34.67667317775265,72.33800065125367,18.926698879407834,42.99902311950505,8.101161714814435,1.5517140857316054,5.307105021229494,10.810810810810814,79.9092284417549,3.7553909354978883,3.4201565030759444,0.5873156889836689
CAPNS1,TYROBP,43.14555519374797,22.524930605530997,72.33800065125367,18.926698879407834,33.31162487788994,5.726328775573147,1.9153728185220478,5.816258535735338,9.833930315858026,77.20754716981132,3.9008857172132902,3.036619544503778,0.5810820217097211
ANXA1,LGALS3BP,83.14881146206447,62.16716356533361,28.883099967437317,4.0711421815564925,26.1234125691957,2.6832528014804153,1.337482188526961,9.732098465087995,57.02539889286877,31.417662032504406,8.394616276561035,7.276432201169321,0.5768191239905738
ANXA1,TYROBP,83.14881146206447,62.16716356533361,72.33800065125367,18.926698879407834,62.886681862585476,12.24426853089339,1.337482188526961,5.135590265246506,20.262129599478996,75.63148619541805,3.7981080767195454,3.8397447900989246,0.5680628348130675
CYBA,TYROBP,80.75545424943016,58.918474349748124,72.33800065125367,18.926698879407834,62.886681862585476,12.809704944998458,1.3706071742945782,4.908916576611784,17.868772386844682,77.87298387096774,3.5383094023172053,3.5815634622942176,0.5662803894706989
IL2RG,EMB,44.51318788668186,16.305130050375244,59.703679583197655,16.82944381618176,29.306414848583522,4.0711421815564925,2.729843791823401,7.1968054016674206,15.20677303809834,65.83760058522311,4.46696160984402,2.636343304046826,0.5525360834183166
HCST,EMB,65.81732334744383,32.03454302457078,59.703679583197655,16.82944381618176,42.47802018886356,6.579623727768069,2.0545093709497273,6.455014288329582,23.33930315858027,64.53927025355596,4.4005049173798545,3.141876293971663,0.5427215971367726
PLP2,TYROBP,58.83262780853142,35.468284157499745,72.33800065125367,18.926698879407834,47.647346141322046,10.897501799115863,1.6586922799819646,4.371917078105857,11.185281667209374,80.98796180987962,2.713224798123892,2.6357613952079126,0.5406010489555928
HCST,CD9,65.81732334744383,32.03454302457078,38.18788668186259,11.29844762002673,28.931943992184955,3.4954251053767864,2.0545093709497273,8.274721499880991,36.88537935525888,43.95794681508967,6.220212128931264,4.0275900499085475,0.5308003405220115
CYBA,LGALS3BP,80.75545424943016,58.918474349748124,28.883099967437317,4.0711421815564925,26.67697818300228,3.073917960316644,1.3706071742945782,8.67567152271444,54.07847606642788,33.034274193548384,7.305064348419862,6.329801627646973,0.5304245883887351
TIMP1,TYROBP,52.92250081406708,28.82697645728385,72.33800065125367,18.926698879407834,43.495604037772715,10.753572530070937,1.8358035255261687,4.044382416516728,9.426896776294363,82.18735579141672,2.2085788909905597,2.2030584211660384,0.5213657235066116
CAPNS1,EMB,43.14555519374797,22.524930605530997,59.703679583197655,16.82944381618176,28.565613806577662,5.016963092423152,1.9153728185220478,5.692671165658863,14.579941387170305,66.20754716981132,3.7772983471368153,2.972095620554686,0.5199026532058973
CD99,TYROBP,89.77531748616086,78.35920633288784,72.33800065125367,18.926698879407834,68.0153044610876,17.240670299167267,1.145674848082707,3.9448210806103035,21.760013025073263,75.76169749727966,2.7991462325275966,3.4432291912596167,0.5187657991127781
EMP3,TYROBP,70.35981764897427,68.28415749974299,72.33800065125367,18.926698879407834,55.62520351676978,15.904184229464377,1.030382300124871,3.4973001704515947,14.734614132204491,79.05819738516719,2.4669178703267236,3.3941772583125314,0.5186368804421722
TIMP1,EMB,52.92250081406708,28.82697645728385,59.703679583197655,16.82944381618176,34.08498860306089,5.911380692916624,1.8358035255261687,5.765019266079515,18.837512211006185,64.40547608060298,3.9292157405533468,3.1403247602039412,0.5184881674306823
PLP2,CD9,58.83262780853142,35.468284157499745,38.18788668186259,11.29844762002673,29.65646369260827,4.245913436825331,1.6586922799819646,6.9830629076294946,29.17616411592315,50.40819150408191,5.32437062764753,4.209980954216188,0.5182594889027861
CTSC,EMB,60.485183979159885,40.74226380178884,59.703679583197655,16.82944381618176,40.33702377075871,7.854425825023132,1.4845443966740897,5.1349251675532095,20.148160208401173,66.68909825033647,3.65038077087912,3.45892327575873,0.5159645297956383
VIM,TYROBP,89.62064474112667,80.15832219594942,72.33800065125367,18.926698879407834,68.14555519374797,17.86779068572016,1.118031468904503,3.813663520509335,21.4750895473787,76.03778726496503,2.695632051604832,3.4110520379593003,0.5149705389050667
TAGLN2,TYROBP,88.04135460761967,83.7051506116994,72.33800065125367,18.926698879407834,66.2487788993813,17.65189678215277,1.0517907461308387,3.7528559599555003,21.79257570823836,75.24734165510864,2.701065213824662,3.568063299435665,0.5112899689667763
IL3RA,ANXA1,33.46629762292413,11.833042047907885,83.14881146206447,62.16716356533361,30.503093454900682,7.823583838799219,2.827968456377132,3.8983662368913623,2.9632041680234487,91.14570664072002,1.0703977805142304,1.3785041442384054,0.5092484222293115
TGFB1,EMB,53.80983393031586,34.67667317775265,59.703679583197655,16.82944381618176,35.330511234125694,6.939446900380385,1.5517140857316054,5.090523959226506,18.479322696190167,65.65809379727685,3.538809873494901,3.2805811367152833,0.5052309626611293
SLC9A3R1,TYROBP,41.6151090849886,35.416880847126556,72.33800065125367,18.926698879407834,33.15695213285575,10.290942736712244,1.1749745634023394,3.221641723149319,8.458156952132853,79.67527386541472,2.0466671597469794,2.741882099830745,0.5007097273144225
EZR,EEF1A1,29.648323021817,33.453274390870774,99.4545750569847,99.46540557211884,29.640182351025725,33.4327130667215,0.8862342275134694,0.8865357638224248,0.008140670791274118,99.9725425590335,0.00030153630895546346,1.0003402444857061,0.49987778961061524
VDAC1,EEF1A1,49.86160859654836,34.40937596381207,99.4545750569847,99.46540557211884,49.84532725496581,34.3888146396628,1.4490283003296942,1.449421224779668,0.016281341582548237,99.9673469387755,0.0003929244499738527,1.0002711640965773,0.4998563809163762
S100A10,EEF1A1,43.70726147834581,28.48771460882081,99.4545750569847,99.46540557211884,43.658417453598176,28.38490798807443,1.5341956307433038,1.5380313876850469,0.048844024747637604,99.88824734587448,0.003835756941743096,1.0025001745963027,0.49963302457645953
SLC9A3R1,EEF1A1,41.6151090849886,35.416880847126556,99.4545750569847,99.46540557211884,41.574405731032236,35.386038860902644,1.1749745634023394,1.1748483927816211,0.04070335395636704,99.90219092331768,-0.0001261706207182911,0.9998926184237105,0.4995046460855525
IL1RAP,EEF1A1,31.773038098339303,10.157294129741956,99.4545750569847,99.46540557211884,31.683490719635298,10.105890819368767,3.1277926876829283,3.1348405049471104,0.08954737870400464,99.7181655137074,0.007047817264182132,1.0022532878511854,0.4989432184317461
CD63,TYROBP,69.96906545099316,68.3149994859669,72.33800065125367,18.926698879407834,53.476066427873654,15.924745553613652,1.0241973472900125,3.357837549761656,16.492999023119502,76.4281559045957,2.333640202471644,3.278506392001861,0.4988227896465607
S1PR4,EEF1A1,27.57245197004233,15.51351907062815,99.4545750569847,99.46540557211884,27.482904591338325,15.472396422329599,1.7772031375591961,1.7761391126564723,0.08954737870400464,99.6752288160614,-0.0010640249027238369,0.9994012924689154,0.49832294283517087
CTSA,EEF1A1,36.144578313253014,24.046468592577362,99.4545750569847,99.46540557211884,36.02246825138391,23.9745039580549,1.5030512743619766,1.5024697005078664,0.12211006186910112,99.66216216216215,-0.0005815738541101734,0.9996130711812496,0.4982817321181052
