gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
CD9,EMP3,0.07336572445379105,-0.026327324914602525,0.022789230023144733,0.22537579482291148,0.5859868292243031,0.0007110577288772179,0.6380201605758403,27743.42252526388,27775.419715693406,logit_clustered,True,0.33303484207098666,0.07998355094068058,4.158592347105986,4091,778,2.8573780787749072,0.8223883473743883,5.746702865814444,5.270247004203009,0.3010227364725013,0.025657102244047148,0.3818788668186259,3.3502708399315373,0.8698177698816402,0.808321507174449,0.004266346373263307
CD9,CD99,-0.05730770781092315,0.08849771987965627,0.03430760952110465,0.430554338997454,0.24094858719678613,2.3820176797281507e-06,0.7411402645193261,26900.79007887293,26932.78726930246,logit_clustered,True,0.37316834907196356,0.08481546211576026,4.394586566145575,4584,825,2.8573780787749072,0.8223883473743883,7.808976320575288,6.368302744154621,0.22237782143811202,-0.03330114623010168,0.3818788668186259,3.3502708399315373,0.9746381464525639,1.044315726214038,0.00010004474254858233
CD9,CD63,0.12871426980600423,-0.017249500195536206,0.014448350349992308,0.016274143434395896,0.6965442676501175,0.005675668152188788,0.6256173251350938,27908.058476204766,27940.055666634293,logit_clustered,True,0.3206610224682514,0.08327336280456461,3.8460847887341725,3939,810,2.8573780787749072,0.8223883473743883,5.514283535846814,5.135686973499577,0.23852155323239374,0.04852539252196382,0.3818788668186259,3.3502708399315373,0.8374999255839112,0.4958139488026352,0.023837806239192908
CD9,RTN4,0.08282826486964916,0.04536658364682794,0.021968665953338764,0.11719391978716175,0.19206206181069985,5.556219254635349e-06,0.6998350599835288,27452.3092448687,27484.306435298226,logit_clustered,True,0.33677955063497234,0.07124498817723861,4.720437401970389,4137,693,2.8573780787749072,0.8223883473743883,6.048932116334326,4.893983395563396,0.1936406229966101,-0.027005275956806844,0.3818788668186259,3.3502708399315373,0.879598170129637,1.3701665620388517,0.00011668060434734234
CD9,CD47,0.1334387211125932,0.1373534772570853,0.015660321399492815,0.005637737964792321,9.470462415989874e-08,0.0001343062850886094,0.7503304223537681,26250.49106271027,26282.488253139796,logit_clustered,True,0.31341582546401825,0.04965559782049964,6.299106817984786,3850,483,2.8573780787749072,0.8223883473743883,5.571593555278139,3.257669768109533,0.13395189140621516,-0.020907987502147365,0.3818788668186259,3.3502708399315373,0.818576977278004,2.9488359780532485,0.0014102159934303987
CD9,ENO1,0.16576698346234225,0.03326261734728085,0.006631580502265859,0.000964081394311984,0.32350134099968963,0.15959371259898036,0.685201879931709,27910.309929826937,27942.307120256464,logit_clustered,True,0.34809508303484205,0.09612419039786162,3.6175423414378525,4276,935,2.8573780787749072,0.8223883473743883,7.068985793878478,6.535410497751143,0.08215955387110224,0.03576831206485059,0.3818788668186259,3.3502708399315373,0.9091519882703234,0.2672715015063152,0.2714256892013095
CD9,ITM2B,0.16981130550345655,-0.0010866111798237558,0.006238005736989696,0.00226242658599002,0.9795411042020211,0.32321519655590536,0.6025859430374995,27992.08502666614,28024.082217095667,logit_clustered,True,0.34793226961901663,0.0996196155032384,3.4891056073889244,4274,969,2.8573780787749072,0.8223883473743883,6.678183290472913,6.340949510709779,0.1748412163918334,0.0822136977881439,0.3818788668186259,3.3502708399315373,0.9087267534769323,0.1388347674573871,0.4525012751782675
CD9,PTGES3,0.13874193091412432,0.051370788018743875,0.011739731473688309,0.0071607069695349065,0.3103199233078383,0.01713056443608645,0.707195429025486,27696.175704377943,27728.17289480747,logit_clustered,True,0.3341745359817649,0.083376169425311,4.003232758311489,4105,811,2.8573780787749072,0.8223883473743883,6.233271162638131,5.265089117691692,0.12663784772431813,0.02308176662097685,0.3818788668186259,3.3502708399315373,0.8727944134353782,0.6529619183799515,0.06540760966505735
CD9,SPN,0.18659907543697477,0.09114665530734133,0.0052451363645867445,0.0002204946364983879,1.5313370158818298e-05,0.06794312361542221,0.7171227372793377,27365.252598207204,27397.24978863673,logit_clustered,True,0.30022793878215565,0.06764675645111545,4.43162085551348,3688,658,2.8573780787749072,0.8223883473743883,5.780523291537474,4.433221907480566,0.029893388831341915,-0.006060135519089815,0.3818788668186259,3.3502708399315373,0.7841329590133191,1.0813500155819429,0.15575238780306142
CD9,PTPRC,0.10233380677958777,0.11168139444165925,0.016520113585968603,0.04374744168313059,0.008317861650931624,0.00039230966116724116,0.7381574832390225,26817.181762710814,26849.17895314034,logit_clustered,True,0.3467111690003256,0.07268428086768788,4.763544612477525,4259,707,2.8573780787749072,0.8223883473743883,6.736786616487673,4.886931437063871,0.15395647546713637,-0.005724354322239555,0.3818788668186259,3.3502708399315373,0.9055374925264984,1.4132737725459878,0.00316085043101024
