gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
EMB,CD47,0.241390121,0.134545785,0.004144231,1.97E-16,4.78E-06,0.082932347,0.79464524,24307.47216,24339.46935,logit_clustered,TRUE,0.465483556,0.094068058,4.943115169,5718,915,4.532162607,1.184995235,5.571593555,3.257669768,0.126317176,0.075842083,0.597036796,3.526617899,0.778352702,1.41649727,0.174157928
EMB,HCST,0.244888636,0.165314814,0.003858404,1.74E-18,0.005096734,0.298156442,0.798942831,23663.28694,23695.28414,logit_clustered,TRUE,0.424780202,0.065796237,6.446198136,5218,640,4.532162607,1.184995235,5.145167474,2.332166782,0.111265857,0.056198097,0.597036796,3.526617899,0.71029108,2.919580237,0.431812779
PLP2,EMB,0.113937507,0.254659258,0.002857103,0.018553153,8.73E-19,0.364463518,0.777464261,24672.01766,24704.01485,logit_clustered,TRUE,0.382774341,0.075871286,5.038408064,4702,738,4.441815716,2.50549104,4.532162607,1.184995235,0.086364832,0.071023489,0.588326278,1.654075511,0.649511747,3.384332553,0.463862659
EMB,GLIPR1,0.255071355,0.027542599,0.004287917,5.94E-20,0.414116104,0.161477767,0.749269804,25418.09124,25450.08844,logit_clustered,TRUE,0.378866819,0.095610157,3.958480785,4654,930,4.532162607,1.184995235,4.381810334,3.399029415,0.146587012,0.075175736,0.597036796,3.526617899,0.633517572,0.431862886,0.271425689
CD9,CD99,-0.057307708,0.08849772,0.03430761,0.430554339,0.240948587,2.38E-06,0.741140265,26900.79008,26932.78727,logit_clustered,TRUE,0.373168349,0.084815462,4.394586566,4584,825,2.857378079,0.822388347,7.808976321,6.368302744,0.222377821,-0.033301146,0.381878867,3.35027084,0.974638146,1.044315726,0.000100045
IL2RG,CD47,0.183111305,0.15447997,0.001299453,1.46E-06,1.13E-07,0.693705256,0.753084609,26342.76254,26374.75973,logit_clustered,TRUE,0.349886031,0.093451218,3.740047828,4298,909,3.261412538,1.123242941,5.571593555,3.257669768,0.083096481,0.081706124,0.445131879,2.71337001,0.784265925,1.026677818,0.728390519
CD9,ENO1,0.165766983,0.033262617,0.006631581,0.000964081,0.323501341,0.159593713,0.68520188,27910.30993,27942.30712,logit_clustered,TRUE,0.348095083,0.09612419,3.617542341,4276,935,2.857378079,0.822388347,7.068985794,6.535410498,0.082159554,0.035768312,0.381878867,3.35027084,0.909151988,0.267271502,0.271425689
CD9,ITM2B,0.169811306,-0.001086611,0.006238006,0.002262427,0.979541104,0.323215197,0.602585943,27992.08503,28024.08222,logit_clustered,TRUE,0.34793227,0.099619616,3.489105607,4274,969,2.857378079,0.822388347,6.67818329,6.340949511,0.174841216,0.082213698,0.381878867,3.35027084,0.908726753,0.138834767,0.452501275
CD9,PTPRC,0.102333807,0.111681394,0.016520114,0.043747442,0.008317862,0.00039231,0.738157483,26817.18176,26849.17895,logit_clustered,TRUE,0.346711169,0.072684281,4.763544612,4259,707,2.857378079,0.822388347,6.736786616,4.886931437,0.153956475,-0.005724354,0.381878867,3.35027084,0.905537493,1.413273773,0.00316085
EMB,TMED2,0.246003785,-0.014992619,0.008509051,4.99E-20,0.751749103,0.00045155,0.731937055,25466.31306,25498.31025,logit_clustered,TRUE,0.343943341,0.092937185,3.696837349,4225,904,4.532162607,1.184995235,3.894258087,3.677362704,0.059173112,-0.002138711,0.597036796,3.526617899,0.5751207,0.17021945,0.00316085
CD9,HNRNPK,0.147460523,-0.035847076,0.010055202,0.000330954,0.253340359,0.041925097,0.643187369,27940.1059,27972.10309,logit_clustered,TRUE,0.3422338,0.09735787,3.511607637,4204,947,2.857378079,0.822388347,6.656782835,6.758008748,0.101549801,0.011535255,0.381878867,3.35027084,0.893843536,0.161336797,0.103579651
EMB,LY6E,0.249348694,-0.030157371,0.007216359,7.69E-16,0.477136304,0.025737057,0.736289385,25464.23192,25496.22911,logit_clustered,TRUE,0.341338326,0.098694356,3.455038733,4193,960,4.532162607,1.184995235,4.03611691,4.093747077,0.054754698,-0.005407058,0.597036796,3.526617899,0.570764757,-0.071579166,0.075844079
EMB,LAMP2,0.254533245,0.078616469,0.004618265,2.64E-18,0.009305484,0.168025427,0.760407208,25070.52641,25102.5236,logit_clustered,TRUE,0.340768479,0.06631027,5.131261737,4186,645,4.532162607,1.184995235,3.767546374,2.298749665,0.117515722,0.053049784,0.597036796,3.526617899,0.569811894,1.604643838,0.271425689
EMB,CREG1,0.250156423,-0.033385179,0.007735745,2.05E-17,0.454640022,0.004527265,0.739143653,25459.79296,25491.79015,logit_clustered,TRUE,0.340035819,0.09735787,3.489054496,4177,947,4.532162607,1.184995235,3.737685848,3.644556747,0.101877398,0.032464743,0.597036796,3.526617899,0.568586785,-0.037563403,0.021127237
HCST,TNFRSF1A,0.167645006,0.081230566,0.009079122,0.007727475,0.140491397,0.022391057,0.730513601,26544.68342,26576.68061,logit_clustered,TRUE,0.339710192,0.094170865,3.603554434,4173,916,5.145167474,2.332166782,3.355654799,1.847359828,0.106972287,0.015588908,0.658173233,2.048179845,0.515357989,1.555374589,0.072340338
EMB,TMEM219,0.246152767,0.000670738,0.008722346,4.37E-21,0.987846364,1.17E-05,0.741181483,25443.44234,25475.43953,logit_clustered,TRUE,0.337593618,0.085740722,3.932791,4147,834,4.532162607,1.184995235,3.737165006,3.231941248,0.084189584,0.013999201,0.597036796,3.526617899,0.564503088,0.406173101,0.000164227
EMB,IL18,0.254932343,0.072529487,0.004557944,6.69E-23,0.048278023,0.109146032,0.758247453,25135.52858,25167.52577,logit_clustered,TRUE,0.33458157,0.070628148,4.730529172,4110,687,4.532162607,1.184995235,3.658885291,2.291184244,0.101357277,0.065421129,0.597036796,3.526617899,0.559466528,1.203911273,0.218292065
CD9,PTGES3,0.138741931,0.051370788,0.011739731,0.007160707,0.310319923,0.017130564,0.707195429,27696.1757,27728.17289,logit_clustered,TRUE,0.334174536,0.083376169,4.003232758,4105,811,2.857378079,0.822388347,6.233271163,5.265089118,0.126637848,0.023081767,0.381878867,3.35027084,0.872794413,0.652961918,0.06540761
