Anchor,Partner,interaction_coef,roc_auc,l_coverage,h_coverage,specificity_ratio,efficacy_retention,specificity_gain
CD9,CD99,3.43E-02,0.74,0.37,0.08,4.39,0.97,1.04
,ENO1,6.63E-03,0.69,0.35,0.10,3.62,0.91,0.27
,ITM2B,6.24E-03,0.60,0.35,0.10,3.49,0.91,0.14
,PTPRC,1.65E-02,0.74,0.35,0.07,4.76,0.91,1.41
,HNRNPK,1.01E-02,0.64,0.34,0.10,3.51,0.89,0.16
,PTGES3,1.17E-02,0.71,0.33,0.08,4.00,0.87,0.65
,EMP3,2.28E-02,0.64,0.33,0.08,4.16,0.87,0.81
,CD63,1.44E-02,0.63,0.32,0.08,3.85,0.84,0.50
,CD47,1.57E-02,0.75,0.31,0.05,6.30,0.82,2.95
,SPN,5.25E-03,0.72,0.30,0.07,4.43,0.78,1.08
EMB,CD47,4.14E-03,0.79,0.47,0.09,4.94,0.78,1.42
,HCST,3.86E-03,0.80,0.42,0.07,6.45,0.71,2.92
,GLIPR1,4.29E-03,0.75,0.38,0.10,3.96,0.63,0.43
,TMED2,8.51E-03,0.73,0.34,0.09,3.70,0.58,0.17
,LY6E,7.22E-03,0.74,0.34,0.10,3.46,0.57,-0.07
,LAMP2,4.62E-03,0.76,0.34,0.07,5.13,0.57,1.60
,CREG1,7.74E-03,0.74,0.34,0.10,3.49,0.57,-0.04
,TMEM219,8.72E-03,0.74,0.34,0.09,3.93,0.56,0.41
,IL18,4.56E-03,0.76,0.33,0.07,4.73,0.56,1.20
,CTSD,8.26E-03,0.73,0.33,0.09,3.71,0.56,0.18
,SSR3,4.07E-03,0.75,0.33,0.08,4.19,0.56,0.66
,MYH9,1.54E-03,0.73,0.33,0.10,3.34,0.55,-0.19
,BSG,5.58E-03,0.74,0.32,0.10,3.22,0.53,-0.31
,M6PR,5.76E-03,0.74,0.31,0.08,4.11,0.52,0.58
,ACTN4,3.21E-03,0.75,0.31,0.08,4.00,0.52,0.47
,RALY,3.96E-03,0.73,0.31,0.09,3.30,0.51,-0.23
,TM9SF2,5.08E-03,0.76,0.30,0.05,5.68,0.51,2.16
,PTTG1IP,9.12E-04,0.75,0.30,0.08,3.57,0.50,0.04
HCST,TNFRSF1A,9.08E-03,0.73,0.34,0.09,3.60,0.52,1.56
IL2RG,CD47,1.30E-03,0.75,0.35,0.09,3.74,0.78,1.03
,PLP2,2.26E-03,0.71,0.31,0.08,3.75,0.70,1.03
PLP2,EMB,2.86E-03,0.78,0.38,0.08,5.04,0.65,3.38
