chromosome,segment_number,gene_symbol,genomic_position,log2_ratio,segment_state,segment_mean_log2
1,8,MROH7-TTC4,54641786,-0.3278291924191991,loss,-0.742080748541074
1,8,TTC4,54715861,-0.36925390679907566,loss,-0.742080748541074
1,8,PARS2,54756898,-0.4124946906150105,loss,-0.742080748541074
1,8,TTC22,54779712,-0.4572174429542559,loss,-0.742080748541074
1,8,DHCR24,54849627,-0.503089286862076,loss,-0.742080748541074
1,8,TMEM61,54886833,-0.5496794293152468,loss,-0.742080748541074
1,8,BSND,54998933,-0.5965377937023563,loss,-0.742080748541074
1,8,PCSK9,55039445,-0.6431910603989341,loss,-0.742080748541074
1,8,USP24,55066359,-0.6891695858261415,loss,-0.742080748541074
1,8,MIR4422HG,55217645,-0.7340150176335025,loss,-0.742080748541074
1,8,MIR4422,55225641,-0.777270326456294,loss,-0.742080748541074
1,8,LINC01755,55329288,-0.8185121566928266,loss,-0.742080748541074
1,8,LINC01753,55915603,-0.8570344744395897,loss,-0.742080748541074
1,8,LINC01767,56414918,-0.8929495701845748,loss,-0.742080748541074
1,8,PLPP3,56494761,-0.9258310537409968,loss,-0.742080748541074
1,8,PRKAA2,56645314,-0.9553787874494103,loss,-0.742080748541074
1,8,FYB2,56718789,-0.9814073409990848,loss,-0.742080748541074
1,8,C8A,56854768,-1.0037314886099917,loss,-0.742080748541074
1,8,C8B,56929207,-1.02225948182803,loss,-0.742080748541074
1,8,DAB1,56994778,-1.036941931506124,loss,-0.742080748541074
1,8,DAB1-AS1,57860532,-1.0477614907562491,loss,-0.742080748541074
1,8,OMA1,58415384,-1.0547426489405631,loss,-0.742080748541074
1,8,TACSTD2,58575433,-1.057961416090685,loss,-0.742080748541074
1,8,MYSM1,58643440,-1.0574724305373944,loss,-0.742080748541074
1,8,JUN,58776845,-1.053401712407967,loss,-0.742080748541074
1,8,HSD52,59131925,-1.0459320535150456,loss,-0.742080748541074
1,8,FGGY,59296638,-1.0351170577074271,loss,-0.742080748541074
1,8,MIR4711,59733227,-1.0211757673633717,loss,-0.742080748541074
1,8,HOOK1,59814786,-1.0042373652734935,loss,-0.742080748541074
1,8,CYP2J2,59893308,-0.984563280294365,loss,-0.742080748541074
1,8,C1orf87,59987269,-0.9623817576258447,loss,-0.742080748541074
1,8,LINC01748,60515716,-0.9378552794940993,loss,-0.742080748541074
1,8,LOC101926964,60659631,-0.9112397421287947,loss,-0.742080748541074
1,8,NFIA,60865259,-0.8827395299085911,loss,-0.742080748541074
1,8,NFIA-AS2,60912675,-0.8526568695184394,loss,-0.742080748541074
1,8,NFIA-AS1,61248945,-0.8211934233108538,loss,-0.742080748541074
1,8,TM2D1,61681046,-0.788667130371915,loss,-0.742080748541074
1,8,PATJ,61742477,-0.7553370717813466,loss,-0.742080748541074
1,8,MIR3116-1,62078786,-0.721424012243277,loss,-0.742080748541074
1,8,MIR3116-2,62078789,-0.6872230447507391,loss,-0.742080748541074
1,8,L1TD1,62194790,-0.6530056280379007,loss,-0.742080748541074
1,8,KANK4,62236165,-0.6189773667630617,loss,-0.742080748541074
1,8,USP1,62436297,-0.5854148141389647,loss,-0.742080748541074
1,8,DOCK7,62454298,-0.5525297530429774,loss,-0.742080748541074
1,8,ANGPTL3,62597520,-0.5205177229584957,loss,-0.742080748541074
1,8,ATG4C,62784132,-0.48955633744283084,loss,-0.742080748541074
1,8,LINC01739,62975745,-0.4598085727629061,loss,-0.742080748541074
1,8,LINC00466,63159083,-0.43138926119144344,loss,-0.742080748541074
1,8,FOXD3-AS1,63320056,-0.40439985278602864,loss,-0.742080748541074
1,8,ITGB3BP,63320884,-0.3788715993337852,loss,-0.742080748541074
1,8,FOXD3,63322567,-0.35489393514318135,loss,-0.742080748541074
1,8,MIR6068,63326925,-0.3324638079795122,loss,-0.742080748541074
1,8,ALG6,63367575,-0.3115739186426515,loss,-0.742080748541074
1,14,MIR557,168375524,-0.30569211171398575,loss,-0.3911971400240475
1,14,XCL2,168540768,-0.3145668308224839,loss,-0.3911971400240475
1,14,XCL1,168576605,-0.3235187195468691,loss,-0.3911971400240475
1,14,DPT,168695468,-0.33252936435667446,loss,-0.3911971400240475
1,14,LINC00970,168763354,-0.3415670564420998,loss,-0.3911971400240475
1,14,LINC00626,168784012,-0.35059730655937943,loss,-0.3911971400240475
1,14,LOC101928596,169103974,-0.3595822194713555,loss,-0.3911971400240475
1,14,ATP1B1,169105697,-0.3684722510348814,loss,-0.3911971400240475
1,14,NME7,169132531,-0.3772126376533327,loss,-0.3911971400240475
1,14,BLZF1,169367970,-0.3857442763728617,loss,-0.3911971400240475
1,14,CCDC181,169394870,-0.39400514775647155,loss,-0.3911971400240475
1,14,SLC19A2,169463909,-0.401930352680931,loss,-0.3911971400240475
1,14,F5,169511951,-0.40945578848889,loss,-0.3911971400240475
1,14,SELP,169588849,-0.4165131146963904,loss,-0.3911971400240475
1,14,SELL,169690665,-0.42305669797792583,loss,-0.3911971400240475
1,14,SELE,169722640,-0.42902329193997185,loss,-0.3911971400240475
1,14,METTL18,169792529,-0.43436231733248665,loss,-0.3911971400240475
1,14,SCYL3,169849631,-0.4390551014615663,loss,-0.3911971400240475
1,14,KIFAP3,169921326,-0.443046076951039,loss,-0.3911971400240475
1,14,MIR3119-1,170151378,-0.446320961940509,loss,-0.3911971400240475
1,14,MIR3119-2,170151378,-0.44888745327689017,loss,-0.3911971400240475
1,14,LINC01681,170173865,-0.4507242923117943,loss,-0.3911971400240475
1,14,LINC01142,170271395,-0.45185567461098225,loss,-0.3911971400240475
1,14,GORAB,170531819,-0.45229627113212173,loss,-0.3911971400240475
1,14,PRRX1,170662728,-0.4520713701726701,loss,-0.3911971400240475
1,14,MROH9,170935526,-0.451222861381794,loss,-0.3911971400240475
1,14,FMO3,171090901,-0.44975873840202457,loss,-0.3911971400240475
1,14,MIR1295A,171101728,-0.44772017282574944,loss,-0.3911971400240475
1,14,MIR1295B,171101739,-0.4451932624323897,loss,-0.3911971400240475
1,14,FMO6P,171138212,-0.44217932044353975,loss,-0.3911971400240475
1,14,FMO2,171185249,-0.43874125639561085,loss,-0.3911971400240475
1,14,FMO1,171248471,-0.4348997522499286,loss,-0.3911971400240475
1,14,FMO4,171314183,-0.4307310854049583,loss,-0.3911971400240475
1,14,TOP1P1,171339299,-0.4262579357487708,loss,-0.3911971400240475
1,14,PRRC2C,171485530,-0.4215142683882873,loss,-0.3911971400240475
1,14,MYOC,171635417,-0.4165473235878061,loss,-0.3911971400240475
1,14,VAMP4,171700160,-0.411386721747938,loss,-0.3911971400240475
1,14,METTL13,171781660,-0.40606861371841807,loss,-0.3911971400240475
1,14,DNM3,171817887,-0.40060958367400107,loss,-0.3911971400240475
1,14,DNM3-IT1,171864187,-0.39503520439049106,loss,-0.3911971400240475
1,14,DNM3OS,172138397,-0.3893772988570879,loss,-0.3911971400240475
1,14,MIR214,172138798,-0.3836530283402663,loss,-0.3911971400240475
1,14,MIR3120,172138808,-0.3778774945973227,loss,-0.3911971400240475
1,14,MIR199A2,172144535,-0.37207126261590945,loss,-0.3911971400240475
1,14,PIGC,172370189,-0.3662484042081984,loss,-0.3911971400240475
1,14,C1orf105,172420685,-0.3604031783559949,loss,-0.3911971400240475
1,14,SUCO,172532349,-0.3545767637787961,loss,-0.3911971400240475
1,14,FASLG,172659103,-0.3487654662350168,loss,-0.3911971400240475
1,14,TNFSF18,173039202,-0.34297285506603076,loss,-0.3911971400240475
1,14,TNFSF4,173162645,-0.33720716278043755,loss,-0.3911971400240475
1,14,PRDX6,173477330,-0.3314704420882178,loss,-0.3911971400240475
1,14,SLC9C2,173500460,-0.325766400643295,loss,-0.3911971400240475
1,14,ANKRD45,173608336,-0.32009661281553486,loss,-0.3911971400240475
1,14,TEX50,173635338,-0.31445443482179164,loss,-0.3911971400240475
1,14,KLHL20,173714941,-0.3088587357229914,loss,-0.3911971400240475
1,14,CENPL,173799550,-0.3032875129234941,loss,-0.3911971400240475
1,16,OR2M2,248174821,-0.3061456200597982,loss,-0.7174029332322435
1,16,OR2M3,248197265,-0.3283606723850005,loss,-0.7174029332322435
1,16,OR2M4,248231417,-0.35297154230846123,loss,-0.7174029332322435
1,16,OR2T33,248269917,-0.380046179021987,loss,-0.7174029332322435
1,16,OR2T12,248290139,-0.4095720930694598,loss,-0.7174029332322435
1,16,OR2M7,248323630,-0.44146337511324146,loss,-0.7174029332322435
1,16,OR14C36,248348775,-0.4754659669959081,loss,-0.7174029332322435
1,16,OR2T4,248361665,-0.5112760781783768,loss,-0.7174029332322435
1,16,OR2T6,248375746,-0.5485119669584385,loss,-0.7174029332322435
1,16,OR2T1,248403048,-0.5866874112569946,loss,-0.7174029332322435
1,16,OR2T2,248445512,-0.625367575320644,loss,-0.7174029332322435
1,16,OR2T3,248473351,-0.6639003734070793,loss,-0.7174029332322435
1,16,OR2T5,248488589,-0.70188448495807,loss,-0.7174029332322435
1,16,OR2G6,248508073,-0.7388574022725054,loss,-0.7174029332322435
