gene_symbol,ensembl_id,chromosome,start,end,strand,chr_num
DDX11L1,ENSG00000290825,1,11121,24894,1,1
WASH7P,ENSG00000310526,1,14356,30744,-1,1
MIR6859-1,ENSG00000278267,1,17369,17436,-1,1
MIR1302-2,ENSG00000284332,1,30366,30503,1,1
FAM138A,ENSG00000237613,1,34553,37595,-1,1
OR4F5,ENSG00000186092,1,65419,71585,1,1
MIR6859-2,ENSG00000273874,1,187891,187958,-1,1
OR4F29,ENSG00000284733,1,450740,451678,-1,1
LOC101928626,ENSG00000293331,1,586054,633129,-1,1
LINC00115,ENSG00000225880,1,586945,827989,-1,1
OR4F16,ENSG00000284662,1,685716,686654,-1,1
FAM87B,ENSG00000177757,1,817363,819842,1,1
LINC01128,ENSG00000228794,1,825138,868835,1,1
FAM41C,ENSG00000230368,1,868052,877032,-1,1
SAMD11,ENSG00000187634,1,923923,944575,1,1
NOC2L,ENSG00000188976,1,944203,959309,-1,1
KLHL17,ENSG00000187961,1,960584,965719,1,1
PLEKHN1,ENSG00000187583,1,966482,975865,1,1
PERM1,ENSG00000187642,1,975198,982117,-1,1
HES4,ENSG00000188290,1,998962,1000172,-1,1
ISG15,ENSG00000187608,1,1001138,1014540,1,1
AGRN,ENSG00000188157,1,1020120,1056119,1,1
RNF223,ENSG00000237330,1,1070967,1074306,-1,1
C1orf159,ENSG00000131591,1,1081818,1116361,-1,1
LINC01342,ENSG00000223823,1,1137017,1144056,1,1
MIR200B,ENSG00000207730,1,1167104,1167198,1,1
MIR200A,ENSG00000207607,1,1167863,1167952,1,1
MIR429,ENSG00000198976,1,1169005,1169087,1,1
TTLL10,ENSG00000162571,1,1173880,1197936,1,1
TNFRSF18,ENSG00000186891,1,1203508,1206592,-1,1
TNFRSF4,ENSG00000186827,1,1211326,1214153,-1,1
SDF4,ENSG00000078808,1,1216931,1232031,-1,1
B3GALT6,ENSG00000176022,1,1232237,1235041,1,1
C1QTNF12,ENSG00000184163,1,1242446,1246722,-1,1
UBE2J2,ENSG00000160087,1,1253909,1273864,-1,1
SCNN1D,ENSG00000162572,1,1280436,1292029,1,1
ACAP3,ENSG00000131584,1,1292390,1309609,-1,1
MIR6726,ENSG00000278073,1,1296110,1296170,-1,1
PUSL1,ENSG00000169972,1,1308597,1311677,1,1
INTS11,ENSG00000127054,1,1311585,1324687,-1,1
MIR6727,ENSG00000283712,1,1312502,1312566,-1,1
CPTP,ENSG00000224051,1,1324756,1328896,1,1
TAS1R3,ENSG00000169962,1,1331280,1335314,1,1
DVL1,ENSG00000107404,1,1335276,1349418,-1,1
MIR6808,ENSG00000284372,1,1339650,1339708,-1,1
MXRA8,ENSG00000162576,1,1352689,1361777,-1,1
AURKAIP1,ENSG00000175756,1,1373730,1375207,-1,1
